Site,Yparm,method,rows,created,ownername,edited,transfer
COLDOTCO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1351,....... ....
COLDOTCO,Q      ,GSLOG2  ,117,95JUL11,CLORA    ,19FEB05 0510,....... ....
COLGBYCO,Q      ,LINEAR  ,39,90JUL16,CLORA    ,20JUL31 0510,....... ....
COLGLECO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1353,....... ....
COLGLECO,Q      ,GSLOG2  ,99,95JUL11,CLORA    ,20AUG26 0510,....... ....
COLKRECO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1351,....... ....
COLKRECO,Q      ,GSLOG2  ,135,95JUL11,CLORA    ,20AUG28 0510,....... ....
COLNGBCO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,12JUL26 1623,....... ....
COLNGBCO,OLDQ   ,GSLOG2  ,57,95JUL11,LDEAVILA ,12JUL26 1610,....... ....
COLNGBCO,Q      ,GSLOG2  ,61,95JUL11,LDEAVILA ,20MAY19 0510,....... ....
COLPALCO,HH     ,GSSHIFT2,3,1-Mar-29,CLORA    ,09JAN15 0915,....... ....
COLPALCO,Q      ,GSLOG2  ,114,95JUL11,CLORA    ,20AUG21 0510,....... ....
COLSULCO,Q      ,LINEAR  ,51,90JUL06,PDAVIDSON,90JUL06 1542,....... ....
COLUTACO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1355,....... ....
COLUTACO,Q      ,GSLOG2  ,167,95JUL11,LDEAVILA ,20SEP12 0510,....... ....
CONE    ,QC     ,GSLOGLOG,32,98MAR04,CSCOTT   ,04MAY26 0747,....... ....
CRBT    ,HH     ,GSSHIFT2,3,92JUL21,DKNUTESON,15SEP11 0822,....... ....
CRBT    ,Q      ,GSLOG2  ,139,92MAR25,DKNUTESON,20AUG07 0510,....... ....
CRED    ,HH     ,GSSHIFT2,1,8-Oct-29,LDEAVILA ,16MAY25 1449,....... ....
CRED    ,OLD    ,GSLOGLOG,26,88OCT18,LDEAVILA ,03MAR19 1429,....... ....
CRED    ,Q      ,GSLOG2  ,126,88OCT18,LDEAVILA ,20AUG12 0510,....... ....
CUNE    ,QC     ,LINEAR  ,320,98MAR04,LDEAVILA ,98MAY20 1111,....... ....
CXNE    ,QC     ,LINEAR  ,410,98MAR04,CSCOTT   ,02MAY29 0656,....... ....
DANE    ,AF     ,LINEAR  ,41,94AUG15,CSCOTT   ,06MAY04 1231,....... ....
DCABNE  ,QC     ,LINEAR  ,129,98MAR04,WPECK    ,18MAY01 0916,....... ....
DCBY    ,HH     ,GSSHIFT2,3,92JUL21,CSCHWIEGE,15OCT20 0842,....... ....
DCBY    ,Q      ,GSLOG2  ,42,89JAN12,CSCHWIEGE,20AUG29 0510,....... ....
DCCY    ,QC     ,GSLOGLOG,21,11-May-10,CSCHWIEGE,11MAY10 1551,....... ....
DFR     ,ACE    ,ACECOEF ,23,94MAY03,GSANO    ,94MAY03 0740,....... ....
DFR     ,QS     ,LINEAR  ,9,87FEB25,RMICHEL  ,11MAY31 1406,....... ....
DFRT    ,HH     ,GSSHIFT2,3,4-Aug-11,LDEAVILA ,16APR21 1418,....... ....
DFRT    ,Q      ,GSLOG2  ,260,4-Aug-11,LDEAVILA ,20MAY27 0510,....... ....
DILRESCO,AF     ,LINEAR  ,142,96FEB13,GSANO    ,96FEB13 1044,....... ....
DILTUNCO,Q      ,LINEAR  ,53,1-May-09,CLORA    ,06JUL10 1525,....... ....
DILTUNCO,QC     ,LINEAR  ,29,1-May-09,HYDROMET ,17AUG03 0916,....... ....
DILTUNCO,QCOLD  ,LINEAR  ,29,1-May-09,HYDROMET ,17AUG03 0830,....... ....
DODNTHMT,QC     ,GSLOGLOG,19,90FEB22,SGUENTHNE,90JUL16 1021,....... ....
DODSTHMT,QC     ,GSLOGLOG,15,90FEB22,SGUENTHNE,90JUL16 1019,....... ....
